Title,Author,Narrator,Length,Release Date,Language,Rating
Hidden Potential,Adam Grant,Adam Grant,Length: 7 hrs and 21 mins,"Release date:
                                    10-24-23","Language:
                                      English",4.5 out of 5 stars
A Short History of Nearly Everything,Bill Bryson,Richard Matthews,Length: 18 hrs and 13 mins,"Release date:
                                    05-04-03","Language:
                                      English",4.5 out of 5 stars
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Neil deGrasse Tyson,Length: 3 hrs and 41 mins,"Release date:
                                    05-02-17","Language:
                                      English",4.5 out of 5 stars
Why Does E=MC2 and Why Should We Care,Brian Cox,Jeff Forshaw,Length: 7 hrs and 3 mins,"Release date:
                                    03-21-11","Language:
                                      English",4.5 out of 5 stars
"The Quantum Series, Books 1 - 3",Douglas Phillips,Graham Halstead,Length: 33 hrs and 50 mins,"Release date:
                                    02-18-20","Language:
                                      English",4.5 out of 5 stars
The Disappearing Spoon,Sam Kean,Sean Runnette,Length: 12 hrs and 34 mins,"Release date:
                                    08-18-10","Language:
                                      English",4.5 out of 5 stars
Deep Medicine,Eric Topol,Graham Winton,Length: 11 hrs and 6 mins,"Release date:
                                    03-12-19","Language:
                                      English",4.5 out of 5 stars
Algorithms to Live By,Brian Christian,Brian Christian,Length: 11 hrs and 50 mins,"Release date:
                                    04-19-16","Language:
                                      English",4.5 out of 5 stars
Listening to the Big Bang,Brian Greene,Brian Greene,Length: 2 hrs and 44 mins,"Release date:
                                    04-24-25","Language:
                                      English",5 out of 5 stars
Relativity,Albert Einstein,Julian Lopez-Morillas,Length: 2 hrs and 14 mins,"Release date:
                                    11-14-09","Language:
                                      English",4.5 out of 5 stars
The Beginning of Infinity,David Deutsch,Walter Dixon,Length: 20 hrs,"Release date:
                                    08-18-11","Language:
                                      English",4.5 out of 5 stars
Body by Science,Doug McGuff MD,Rick Adamson,Length: 9 hrs and 1 min,"Release date:
                                    08-13-19","Language:
                                      English",4.5 out of 5 stars
The Invention of Nature,Andrea Wulf,David Drummond,Length: 14 hrs and 3 mins,"Release date:
                                    10-20-15","Language:
                                      English",4.5 out of 5 stars
The Quantum Revelation,Paul Levy,Paul Brion,Length: 12 hrs and 51 mins,"Release date:
                                    09-08-20","Language:
                                      English",4.5 out of 5 stars
George Orwell’s 1984,George Orwell,Andrew Garfield,Length: 3 hrs and 27 mins,"Release date:
                                    04-04-24","Language:
                                      English",4.5 out of 5 stars
Biology: The Science of Life,Stephen Nowicki,Stephen Nowicki,Length: 36 hrs and 38 mins,"Release date:
                                    07-08-13","Language:
                                      English",4.5 out of 5 stars
The Elephant in the Brain,Kevin Simler,Jeffrey Kafer,Length: 10 hrs and 26 mins,"Release date:
                                    09-25-18","Language:
                                      English",4.5 out of 5 stars
